city,county,country,given_name,family_name,date_of_birth
Aberdeen,Aberdeenshire,Scotland,Arthur,Loveless,1886-04-21
Aberdeen,Aberdeenshire,Scotland,Hilda,Lloyds,1891-09-14
Aberdeen,Aberdeenshire,Scotland,Nellie,Oliver,1879-09-16
Aberdeen,Aberdeenshire,Scotland,Hannah,Whipp,1843-12-24
Aberdeen,Aberdeenshire,Scotland,Hilary,Abbott,1974-05-29
Aberdeen,Aberdeenshire,Scotland,Tom,Atkins,1841-02-12
Aberdeen,Aberdeenshire,Scotland,Pauline,Plumb,1952-06-26
Aberdeen,Aberdeenshire,Scotland,James,Nicholson,1919-06-01
Aberdeen,Aberdeenshire,Scotland,Yvonne,Burgess,1948-11-23
Aberdeen,Aberdeenshire,Scotland,Thomas,Bostock,1843-05-18
Aberdeen,Aberdeenshire,Scotland,Winifred,Heslop,1905-09-12
Aberdeen,Aberdeenshire,Scotland,Donald,Hilliard,1945-03-05
Aberdeen,Aberdeenshire,Scotland,Maureen,Buckley,1943-10-24
Aberdeen,Aberdeenshire,Scotland,Susan,Dwyer,1959-12-09
Aberdeen,Aberdeenshire,Scotland,Sydney,Pike,1943-12-15
Aberdeen,Aberdeenshire,Scotland,Louisa,Scott,1886-04-13
Aberdeen,Aberdeenshire,Scotland,Katie,Stevenson,1982-03-22
Aberdeen,Aberdeenshire,Scotland,Matthew,Hall,1903-09-01
Aberdeen,Aberdeenshire,Scotland,John,Hopewell,1929-02-19
Aberdeen,Aberdeenshire,Scotland,Tom,Lamborn,1848-01-30
Aberdeen,Aberdeenshire,Scotland,Nyree,Hawkins,1968-12-25
Aberdeen,Aberdeenshire,Scotland,Sibyl,Read,1893-10-14
Aberdeen,Aberdeenshire,Scotland,Anne,Waude,1943-03-28
Aberdeen,Aberdeenshire,Scotland,Ivy,Walker,1910-07-27
Aberdeen,Aberdeenshire,Scotland,David,Parry,1951-09-14
Aberdeen,Aberdeenshire,Scotland,Graham,Knight,1962-04-03
Aberdeen,Aberdeenshire,Scotland,Marjorie,Spooner,1923-02-26
Aberdeen,Aberdeenshire,Scotland,Harry,Cooper,1941-11-08
Aberdeen,Aberdeenshire,Scotland,Susan,Smith,1952-08-17
Aberdeen,Aberdeenshire,Scotland,Rachel,Turner,1983-03-31
Aberdeen,Aberdeenshire,Scotland,Christine,Collins,1962-06-10
Aberdeen,Aberdeenshire,Scotland,Ann,Binns,1949-08-13
Aberdeen,Aberdeenshire,Scotland,Gail,Duff,1967-05-16
Aberdeen,Aberdeenshire,Scotland,Irene,Petty,1910-01-14
Aberdeen,Aberdeenshire,Scotland,Marjorie,Bradley,1929-10-25
Aberdeen,Aberdeenshire,Scotland,Alfred,Berry,1911-08-06
Aberdeen,Aberdeenshire,Scotland,Sarah,Adamson,1983-02-11
Aberdeen,Aberdeenshire,Scotland,Beatrice,Hollis,1870-05-31
Aberdeen,Aberdeenshire,Scotland,Elizabeth,Ellcock,1882-11-17
Aberdeen,Aberdeenshire,Scotland,Job,Bolton,1851-09-25
Aberdeen,Aberdeenshire,Scotland,Jennie,Downie,1877-10-12
Aberdeen,Aberdeenshire,Scotland,Minnie,Challis,1881-03-24
Aberdeen,Aberdeenshire,Scotland,Emely,Ring,1888-10-19
Aberdeen,Aberdeenshire,Scotland,Malcolm,Griffiths,1927-10-04
Aberdeen,Aberdeenshire,Scotland,Thomas,James,1891-06-02
Aberdeen,Aberdeenshire,Scotland,Rodney,Dean,1941-06-13
Aberdeen,Aberdeenshire,Scotland,Lynne,Hopkinson,1965-08-24
Aberdeen,Aberdeenshire,Scotland,Elizabeth,Moxham,1875-12-08
Aberdeen,Aberdeenshire,Scotland,Elsie,Bratby,1926-11-24
Aberdeen,Aberdeenshire,Scotland,Catherine,Mcguinness,1932-11-29
Aberdeen,Aberdeenshire,Scotland,Davis,Webb,1872-12-25
Aberdeen,Aberdeenshire,Scotland,Alma,Dixon,1927-10-18
Airdrie,Lanarkshire,Scotland,John,Bradley,1850-02-17
Airdrie,Lanarkshire,Scotland,Edgar,Williams,1915-03-02
Airdrie,Lanarkshire,Scotland,Sarah,Jarvis,1968-07-14
Airdrie,Lanarkshire,Scotland,Blanche,North,1874-11-15
Airdrie,Lanarkshire,Scotland,Ben,Toohey,1975-10-18
Airdrie,Lanarkshire,Scotland,Male,Smalley,1851-10-19
Airdrie,Lanarkshire,Scotland,Nicholas,Flukes,1957-11-04
Airdrie,Lanarkshire,Scotland,Alfred,Hollis,1882-01-04
Airdrie,Lanarkshire,Scotland,Wendy,Devine,1957-03-31
Airdrie,Lanarkshire,Scotland,Stuart,Surtees,1961-03-03
Airdrie,Lanarkshire,Scotland,Alfred,Barker,1899-11-20
Airdrie,Lanarkshire,Scotland,Anthony,Card,1943-12-03
Airdrie,Lanarkshire,Scotland,Ellen,Turrell,1890-02-02
Airdrie,Lanarkshire,Scotland,Violet,White,1926-01-01
Airdrie,Lanarkshire,Scotland,John,Mash,1907-09-17
Airdrie,Lanarkshire,Scotland,Frances,Tite,1876-11-08
Airdrie,Lanarkshire,Scotland,James,Mcmanus,1946-05-08
Airdrie,Lanarkshire,Scotland,Roy,Volpe,1958-03-11
Airdrie,Lanarkshire,Scotland,Peggy,Henley,1924-05-17
Airdrie,Lanarkshire,Scotland,Jane,Moor,1873-03-02
Airdrie,Lanarkshire,Scotland,Andrew,Richardson,1969-04-05
Airdrie,Lanarkshire,Scotland,Mark,Smith,1953-09-06
Airdrie,Lanarkshire,Scotland,Anthony,Quinn,1944-09-07
Airdrie,Lanarkshire,Scotland,Ethel,Osbaldeston,1895-04-29
Airdrie,Lanarkshire,Scotland,Alice,Thorpe,1918-09-17
Airdrie,Lanarkshire,Scotland,George,Stephens,1894-01-13
Airdrie,Lanarkshire,Scotland,Alexandros,Dionysiou,1966-07-19
Airdrie,Lanarkshire,Scotland,John,Davies,1881-03-27
Airdrie,Lanarkshire,Scotland,Kenneth,Mansbridge,1949-06-24
Airdrie,Lanarkshire,Scotland,William,Logwood,1878-04-24
Airdrie,Lanarkshire,Scotland,Kate,Goodall,1878-04-30
Airdrie,Lanarkshire,Scotland,Doreen,Dewberry,1938-03-12
Airdrie,Lanarkshire,Scotland,Herbert,Jones,1844-11-24
Airdrie,Lanarkshire,Scotland,James,Denman,1853-05-19
Airdrie,Lanarkshire,Scotland,Hellen,Grant,1839-05-16
Airdrie,Lanarkshire,Scotland,Albert,Arnold,1884-11-14
Airdrie,Lanarkshire,Scotland,John,Warton,1861-11-10
Airdrie,Lanarkshire,Scotland,Alfred,Hunter,1889-03-30
Airdrie,Lanarkshire,Scotland,Frederick,Richardson,1898-11-16
Airdrie,Lanarkshire,Scotland,Irene,Palmer,1937-04-01
Airdrie,Lanarkshire,Scotland,Emma,Ramsden,1926-05-23
Airdrie,Lanarkshire,Scotland,Charles,Richardson,1917-05-10
Airdrie,Lanarkshire,Scotland,Stuart,Peers,1973-06-14
Airdrie,Lanarkshire,Scotland,Matthew,Norman,1972-01-13
Airdrie,Lanarkshire,Scotland,Mark,Lancashire,1964-11-19
Airdrie,Lanarkshire,Scotland,Lewis,Bailey,1911-07-24
Airdrie,Lanarkshire,Scotland,Nazia,Parveen,1981-02-02
Airdrie,Lanarkshire,Scotland,Alfred,Buckley,1899-01-06
Airdrie,Lanarkshire,Scotland,Albert,Munns,1884-01-05
Airdrie,Lanarkshire,Scotland,John,Marsterman,1885-03-09
Airdrie,Lanarkshire,Scotland,Katherine,Brodie-browne,1982-03-16
Airdrie,Lanarkshire,Scotland,Female,Cheesman,1841-10-25
Airdrie,Lanarkshire,Scotland,Teresa,Cooper,1962-12-14
Airdrie,Lanarkshire,Scotland,Peter,Brooks,1952-09-17
Airdrie,Lanarkshire,Scotland,Donald,Box,1939-01-15
Airdrie,Lanarkshire,Scotland,Frederick,Bellinger,1893-06-22
Airdrie,Lanarkshire,Scotland,Andrew,Magee,1952-03-15
Airdrie,Lanarkshire,Scotland,Faith,Gilchrist,1939-10-16
Airdrie,Lanarkshire,Scotland,Catriona,Orchard,1974-07-04
Airdrie,Lanarkshire,Scotland,Charles,Botting,1876-01-18
Airdrie,Lanarkshire,Scotland,Michael,Luxford,1963-04-25
Airdrie,Lanarkshire,Scotland,Arthur,Allen,1920-11-04
Airdrie,Lanarkshire,Scotland,Julie,Maddox,1964-10-19
Airdrie,Lanarkshire,Scotland,Brian,Barwood,1964-06-12
Airdrie,Lanarkshire,Scotland,Jean,Smith,1933-06-30
Airdrie,Lanarkshire,Scotland,Sheila,Johnson,1945-09-21
Airdrie,Lanarkshire,Scotland,Robert,Barns,1982-06-28
Airdrie,Lanarkshire,Scotland,Valerie,Gregory,1947-05-23
Airdrie,Lanarkshire,Scotland,Gary,Worsfield,1951-09-25
Airdrie,Lanarkshire,Scotland,George,Haigh,1916-01-08
Airdrie,Lanarkshire,Scotland,Virginia,Talbot,1973-11-29
Airdrie,Lanarkshire,Scotland,Louise,Scott,1974-08-01
Airdrie,Lanarkshire,Scotland,Juan,Aguilera,1964-07-21
Airdrie,Lanarkshire,Scotland,Amanda,Lewis,1971-02-13
Airdrie,Lanarkshire,Scotland,Ivy,Howes,1915-10-16
Airdrie,Lanarkshire,Scotland,Winnie,Dalby,1922-08-29
Airdrie,Lanarkshire,Scotland,Theresa,Cully,1962-05-28
Airdrie,Lanarkshire,Scotland,Sylvia,Howorth,1938-06-01
Airdrie,Lanarkshire,Scotland,Francis,Bennett,1938-05-30
Airdrie,Lanarkshire,Scotland,Susan,Bagnall,1950-09-19
Airdrie,Lanarkshire,Scotland,Kathleen,Seville,1907-05-10
Alloa,Clackmannanshire,Scotland,Naomi,Appleyard,1981-05-11
Alloa,Clackmannanshire,Scotland,Charles,Campion,1846-04-24
Alloa,Clackmannanshire,Scotland,Timothy,Cooper,1942-05-26
Alloa,Clackmannanshire,Scotland,Ellen,Parkinson,1838-06-02
Alloa,Clackmannanshire,Scotland,Sarah,Matthews,1852-05-27
Alloa,Clackmannanshire,Scotland,Barbara,Higgerson,1946-05-13
Alloa,Clackmannanshire,Scotland,Sarah,Barnsley,1872-09-14
Alloa,Clackmannanshire,Scotland,Lilie,Western,1876-01-20
Alloa,Clackmannanshire,Scotland,Gilbert,Woffenden,1912-08-02
Alloa,Clackmannanshire,Scotland,John,Richards,1915-09-17
Alloa,Clackmannanshire,Scotland,Charles,Charlton,1883-06-01
Alloa,Clackmannanshire,Scotland,Mark,Ing,1963-05-11
Alloa,Clackmannanshire,Scotland,John,Storey,1917-04-14
Alloa,Clackmannanshire,Scotland,Anastasia,Richardson,1890-05-24
Alloa,Clackmannanshire,Scotland,Robert,Spoors,1913-02-19
Alloa,Clackmannanshire,Scotland,Frederick,Harrison,1951-07-10
Alloa,Clackmannanshire,Scotland,Mary,Miall,1844-06-16
Alloa,Clackmannanshire,Scotland,Lilian,Brown,1917-09-04
Alloa,Clackmannanshire,Scotland,Sandra,Kovacs,1944-07-25
Alloa,Clackmannanshire,Scotland,Reginald,Turnham,1926-02-18
Alloa,Clackmannanshire,Scotland,Mark,Smith,1975-05-02
Alloa,Clackmannanshire,Scotland,Janette,Skeet,1940-06-03
Alloa,Clackmannanshire,Scotland,Daryl,Thompson,1962-07-25
Alloa,Clackmannanshire,Scotland,Paul,Weston,1954-03-19
Alloa,Clackmannanshire,Scotland,Sibyl,Jeffs,1919-03-30
Alloa,Clackmannanshire,Scotland,John,Simpson,1955-09-29
Alloa,Clackmannanshire,Scotland,George,Fullwell,1869-04-08
Alloa,Clackmannanshire,Scotland,Joseph,Allan,1897-10-30
Alloa,Clackmannanshire,Scotland,Hywel,Evans,1951-06-08
Alloa,Clackmannanshire,Scotland,Elsie,Gilmore,1918-08-27
Alloa,Clackmannanshire,Scotland,Margaret,Milledge,1928-01-15
Alloa,Clackmannanshire,Scotland,Janine,Dodd,1976-09-08
Alloa,Clackmannanshire,Scotland,Malveer,Rajania,1980-01-31
Alloa,Clackmannanshire,Scotland,Frances,Chorlton,1943-10-28
Alloa,Clackmannanshire,Scotland,James,Barnes,1837-05-10
Alloa,Clackmannanshire,Scotland,Thomas,Shirley,1876-07-01
Alloa,Clackmannanshire,Scotland,Melvin,Wingfield,1956-01-28
Alloa,Clackmannanshire,Scotland,Rocco,Loscalzo,1966-09-10
Alloa,Clackmannanshire,Scotland,Florence,Rowe,1878-02-02
Alloa,Clackmannanshire,Scotland,Martin,Stafford,1908-01-26
Alloa,Clackmannanshire,Scotland,Kerry,Wilson,1972-03-31
Alloa,Clackmannanshire,Scotland,Mary,Lyons,1906-03-11
Alloa,Clackmannanshire,Scotland,Stephen,Roberts,1976-08-25
Alloa,Clackmannanshire,Scotland,Deborah,Morgan,1966-05-15
Alloa,Clackmannanshire,Scotland,Janine,Lamont,1976-11-09
Alloa,Clackmannanshire,Scotland,Jonathan,Baines,1842-01-06
Alloa,Clackmannanshire,Scotland,Marian,Kerr,1906-02-15
Alloa,Clackmannanshire,Scotland,James,Cronin,1877-12-18
Alloa,Clackmannanshire,Scotland,Sarah,Threapleton,1841-11-15
Alloa,Clackmannanshire,Scotland,Walter,Satchell,1868-04-17
Alloa,Clackmannanshire,Scotland,Albert,Petsch,1908-05-08
Alloa,Clackmannanshire,Scotland,Mary,Williams,1886-04-23
Alloa,Clackmannanshire,Scotland,Dorothy,Clarke,1929-08-19
Alloa,Clackmannanshire,Scotland,Doreen,Ridgway,1939-05-08
Alloa,Clackmannanshire,Scotland,Linda,Taylor,1902-05-24
Alloa,Clackmannanshire,Scotland,Elizabeth,Macarty,1840-05-08
Alloa,Clackmannanshire,Scotland,Paul,Brookes,1971-07-08
Alloa,Clackmannanshire,Scotland,Elizabeth,Newman,1959-06-29
Alloa,Clackmannanshire,Scotland,Julia,Wood,1949-03-14
Alloa,Clackmannanshire,Scotland,Samuel,Beardsley,1870-04-07
Alloa,Clackmannanshire,Scotland,Mary,Norman,1874-01-30
Alloa,Clackmannanshire,Scotland,Lindsay,Wardrop,1966-01-20
Alloa,Clackmannanshire,Scotland,Michael,Slamaker,1959-09-19
Alloa,Clackmannanshire,Scotland,Mark,Thompson,1902-02-27
Alloa,Clackmannanshire,Scotland,John,Grosvenor,1925-04-06
Alloa,Clackmannanshire,Scotland,Patricia,Preston,1947-11-11
Alloa,Clackmannanshire,Scotland,Ethel,Porter,1883-08-19
Alloa,Clackmannanshire,Scotland,Alice,Shaw,1870-09-28
Alloa,Clackmannanshire,Scotland,William,Tucker,1858-12-15
Annan,Dumfriesshire,Scotland,Edgar,Becker,1870-09-24
Annan,Dumfriesshire,Scotland,Jeannie,Hickman,1917-12-25
Annan,Dumfriesshire,Scotland,Winifred,Winstanley,1938-02-16
Annan,Dumfriesshire,Scotland,Sarah,Pitt,1851-12-17
Annan,Dumfriesshire,Scotland,Evelyn,Thornley,1905-06-13
Annan,Dumfriesshire,Scotland,Thomas,Dixon,1862-01-10
Annan,Dumfriesshire,Scotland,Arthur,Monkman,1892-02-01
Annan,Dumfriesshire,Scotland,Samuel,Day,1885-11-29
Annan,Dumfriesshire,Scotland,Michael,Hunt,1958-03-24
Annan,Dumfriesshire,Scotland,Maggie,Dickinson,1904-12-16
Annan,Dumfriesshire,Scotland,Clara,Harrison,1923-10-25
Annan,Dumfriesshire,Scotland,Susan,Jones,1956-05-02
Annan,Dumfriesshire,Scotland,Julie,Connor,1962-10-19
Annan,Dumfriesshire,Scotland,Charlotte,Carey,1859-12-08
Annan,Dumfriesshire,Scotland,William,Netherway,1912-08-01
Annan,Dumfriesshire,Scotland,Linda,Spreadbury,1899-03-16
Annan,Dumfriesshire,Scotland,Γιώργος,Lancaster,1900-01-27
Annan,Dumfriesshire,Scotland,Charles,Hibberd,1881-08-29
Annan,Dumfriesshire,Scotland,Joseph,Lunn,1863-01-26
Annan,Dumfriesshire,Scotland,Julia,Paice,1870-01-26
Annan,Dumfriesshire,Scotland,Susan,Williams,1947-02-19
Annan,Dumfriesshire,Scotland,Richard,Stevens,1952-03-08
Annan,Dumfriesshire,Scotland,Christopher,Roby,1935-08-17
Annan,Dumfriesshire,Scotland,Angelina,Wise,1927-11-23
Annan,Dumfriesshire,Scotland,Florence,Bradford,1903-10-09
Annan,Dumfriesshire,Scotland,George,Smith,1888-07-14
Annan,Dumfriesshire,Scotland,James,Grubb,1939-09-18
Annan,Dumfriesshire,Scotland,Pauline,Brandon,1963-04-21
Annan,Dumfriesshire,Scotland,Frederick,Worthy,1867-04-16
Annan,Dumfriesshire,Scotland,Pauline,Taylor,1953-08-11
Annan,Dumfriesshire,Scotland,Stephanie,Coombes,1945-01-14
Annan,Dumfriesshire,Scotland,Bessie,Tinson,1865-06-29
Annan,Dumfriesshire,Scotland,Marjory,Howland,1887-03-15
Annan,Dumfriesshire,Scotland,Heather,Oakes,1958-03-22
Annan,Dumfriesshire,Scotland,John,Logan,1870-04-03
Annan,Dumfriesshire,Scotland,Peter,Charlesworth,1965-02-09
Annan,Dumfriesshire,Scotland,Frederick,Harrop,1867-08-08
Annan,Dumfriesshire,Scotland,Stanley,Brightman,1923-03-22
Annan,Dumfriesshire,Scotland,Violet,Aves,1901-09-21
Annan,Dumfriesshire,Scotland,Eliza,Beasleigh,1890-06-28
Annan,Dumfriesshire,Scotland,Maud,Skitt,1910-08-09
Annan,Dumfriesshire,Scotland,Elizabeth,Sanford,1867-12-20
Annan,Dumfriesshire,Scotland,Eric,Whelan,1946-03-21
Annan,Dumfriesshire,Scotland,Emily,Reynolds,1978-06-27
Annan,Dumfriesshire,Scotland,Frederick,Edwards,1884-11-07
Annan,Dumfriesshire,Scotland,Frederick,Lemar,1908-05-20
Annan,Dumfriesshire,Scotland,Sarah,Winstanley,1856-11-27
Annan,Dumfriesshire,Scotland,John,Taylor,1935-08-05
Annan,Dumfriesshire,Scotland,Lucia,Thompson,1941-12-01
Annan,Dumfriesshire,Scotland,David,Bird,1963-06-03
Annan,Dumfriesshire,Scotland,James,Sime,1963-04-23
Annan,Dumfriesshire,Scotland,Garbutt,Morley,1876-02-06
Annan,Dumfriesshire,Scotland,Mary,Denison,1912-05-14
Annan,Dumfriesshire,Scotland,Alice,Hateley,1859-09-23
Annan,Dumfriesshire,Scotland,Scott,Mason,1973-05-13
Annan,Dumfriesshire,Scotland,Stephanie,Crowe,1958-03-08
Annan,Dumfriesshire,Scotland,Harry,Hodgkinson,1924-12-26
Annan,Dumfriesshire,Scotland,Hilda,Fisher,1912-06-21
Annan,Dumfriesshire,Scotland,Jane,Berry,1888-10-10
Annan,Dumfriesshire,Scotland,Maud,Park,1882-10-02
Annan,Dumfriesshire,Scotland,Christopher,Triner,1953-04-27
Annan,Dumfriesshire,Scotland,Gladys,Wood,1928-04-10
Annan,Dumfriesshire,Scotland,Betty,Turner,1923-11-06
Annan,Dumfriesshire,Scotland,Alice,Clarke,1862-01-27
Annan,Dumfriesshire,Scotland,Linda,Voak,1960-05-19
Annan,Dumfriesshire,Scotland,John,O'regan,1963-07-13
Annan,Dumfriesshire,Scotland,James,Arnott,1934-02-09
Annan,Dumfriesshire,Scotland,Carol,Noble,1942-07-15
Annan,Dumfriesshire,Scotland,Walter,Sharp,1906-11-08
Annan,Dumfriesshire,Scotland,John,Alderson,1850-05-14
Annan,Dumfriesshire,Scotland,Ada,Gosling,1874-05-11
Annan,Dumfriesshire,Scotland,Herbert,Dutton,1906-06-30
Annan,Dumfriesshire,Scotland,Cecil,Thomas,1898-07-31
Annan,Dumfriesshire,Scotland,Jane,Barrington,1872-01-19
Annan,Dumfriesshire,Scotland,Darren,Baya,1982-11-10
Annan,Dumfriesshire,Scotland,Emma,Hazlehurst,1872-12-15
Annan,Dumfriesshire,Scotland,Liam,Duggan,1977-02-26
Annan,Dumfriesshire,Scotland,John,Delforce,1871-03-11
Annan,Dumfriesshire,Scotland,James,Barthorp,1843-12-06
Annan,Dumfriesshire,Scotland,Joe,Pye-farrand,1982-01-04
Annan,Dumfriesshire,Scotland,Mary,Austwick,1926-02-13
Annan,Dumfriesshire,Scotland,John,Major,1892-01-08
Annan,Dumfriesshire,Scotland,Lynette,Richardson,1979-06-05
Annan,Dumfriesshire,Scotland,Elsie,Heald,1924-05-08
Annan,Dumfriesshire,Scotland,Elizabeth,Davies,1920-06-12
Annan,Dumfriesshire,Scotland,Janette,Pearce,1941-06-22
Annan,Dumfriesshire,Scotland,Daisy,Brain,1899-01-13
Annan,Dumfriesshire,Scotland,George,Carnell,1860-01-13
Annan,Dumfriesshire,Scotland,Kathleen,Beare,1921-05-05
Annan,Dumfriesshire,Scotland,Bertha,Pollitt,1909-05-01
Annan,Dumfriesshire,Scotland,Laura,Jones,1913-05-03
Annan,Dumfriesshire,Scotland,Christopher,Chalmers,1978-05-03
Anstruther,Fife,Scotland,James,Robinson,1877-06-26
Anstruther,Fife,Scotland,James,Bagwell,1880-01-14
Anstruther,Fife,Scotland,Elisha,Godwin,1880-03-26
Anstruther,Fife,Scotland,Edward,Arnold,1980-05-20
Anstruther,Fife,Scotland,Mary,Crimes,1873-10-01
Anstruther,Fife,Scotland,James,Bairstow,1972-07-17
Anstruther,Fife,Scotland,Ethel,Naylor,1898-07-03
Anstruther,Fife,Scotland,Paul,Haigh,1969-06-11
Anstruther,Fife,Scotland,John,Northam,1839-12-22
Anstruther,Fife,Scotland,Jeannie,Seale,1919-10-29
Anstruther,Fife,Scotland,David,Walker,1972-01-29
Anstruther,Fife,Scotland,George,Buckley,1923-05-17
Anstruther,Fife,Scotland,Harry,Babington,1916-12-12
Anstruther,Fife,Scotland,Linda,Mazur,1960-07-07
Anstruther,Fife,Scotland,Female,Wells,1838-12-26
Anstruther,Fife,Scotland,Stuart,Jarvis,1977-03-21
Anstruther,Fife,Scotland,Frederick,Humphries,1909-11-30
Anstruther,Fife,Scotland,Gladys,Jones,1891-06-01
Anstruther,Fife,Scotland,Susan,Collard,1958-08-04
Anstruther,Fife,Scotland,Lilian,Ashley,1915-09-24
Anstruther,Fife,Scotland,Joseph,Royce,1888-08-25
Anstruther,Fife,Scotland,May,Noyes,1885-06-05
Anstruther,Fife,Scotland,Paul,Sharp,1967-10-03
Anstruther,Fife,Scotland,Arthur,Pearce,1905-10-11
Anstruther,Fife,Scotland,Mary,Ball,1941-10-24
Anstruther,Fife,Scotland,Fanny,Woolley,1886-06-20
Anstruther,Fife,Scotland,Michael,Lever,1949-10-05
Anstruther,Fife,Scotland,Reginald,Gray,1916-09-18
Anstruther,Fife,Scotland,Mary,Hopkins,1945-08-08
Anstruther,Fife,Scotland,Edmund,Kavanagh,1938-11-11
Anstruther,Fife,Scotland,John,Marshall,1946-11-18
Anstruther,Fife,Scotland,Walter,Wilding,1894-01-11
Anstruther,Fife,Scotland,Jennifer,Harding,1966-08-17
Anstruther,Fife,Scotland,Catrina,Pearse,1965-07-03
Anstruther,Fife,Scotland,Mary,Klauke,1912-02-28
Anstruther,Fife,Scotland,Lee,Whotton,1966-11-15
Anstruther,Fife,Scotland,Ethel,Ashworth,1887-08-14
Anstruther,Fife,Scotland,Karen,Ferris,1978-05-10
Anstruther,Fife,Scotland,Matthew,Warren,1922-01-09
Anstruther,Fife,Scotland,Leonard,Nunn,1901-07-27
Anstruther,Fife,Scotland,Jesse,Guy,1898-06-15
Anstruther,Fife,Scotland,Charles,Rogers,1842-07-27
Anstruther,Fife,Scotland,Carol,Young,1949-09-09
Anstruther,Fife,Scotland,Leonard,Knapman,1917-09-14
Anstruther,Fife,Scotland,Francis,Carter,1892-01-19
Anstruther,Fife,Scotland,Elaine,Paulley,1947-08-30
Anstruther,Fife,Scotland,Fred,Price,1912-05-13
